date,num_rides,holiday,Max_Temp,Min_Temp,Rain_in,Snow&Hail_in,obs_time_ Snow&Hail_in
2018/01/11,305009,FALSE,53,41,0,0,3.1
2018/01/12,317675,FALSE,61,44,0.54,0,0.001
2018/01/13,321904,FALSE,58,19,0.05,0,0
2018/01/14,290989,FALSE,25,15,0,0,0
2018/01/15,246915,TRUE,30,16,0,0,0
2018/01/16,295745,FALSE,36,25,0,0,0
2018/01/17,305032,FALSE,36,22,0.19,0.4,0
2018/01/18,330736,FALSE,32,18,0,0,0.001
2018/01/19,325622,FALSE,41,24,0,0,0.001
2018/01/20,294541,FALSE,52,38,0,0,0.001
2018/01/21,252209,FALSE,50,42,0,0,0
2018/01/22,261677,FALSE,49,38,0.01,0,0
2018/01/23,287555,FALSE,60,38,0.3,0,0
2018/01/24,315605,FALSE,44,27,0,0,0
2018/01/25,331922,FALSE,34,23,0,0,0
2018/01/26,335390,FALSE,38,26,0,0,0
2018/01/27,310001,FALSE,56,35,0,0,0
2018/01/28,259825,FALSE,55,46,0.21,0,0
2018/01/29,266638,FALSE,47,35,0.001,0.1,0
2018/01/30,302870,FALSE,36,24,0.11,0.9,0
2018/01/31,319062,FALSE,33,18,0,0,0
2018/08/01,287111,FALSE,84,74,0.1,0,0
2018/08/02,286363,FALSE,86,76,0.51,0,0
2018/08/03,268582,FALSE,85,73,0.24,0,0
2018/08/04,244360,FALSE,84,72,0.74,0,0
2018/08/05,227469,FALSE,91,73,0,0,0
2018/08/06,253062,FALSE,92,77,0,0,0
2018/08/07,282550,FALSE,90,74,0.05,0,0
2018/08/08,290233,FALSE,90,76,0,0,0
2018/08/09,287146,FALSE,86,73,0.61,0,0
2018/08/10,273354,FALSE,86,72,0.001,0,0
2018/08/11,232130,FALSE,80,70,2.9,0,0
2018/08/12,211388,FALSE,84,72,0.001,0,0
2018/08/13,240695,FALSE,75,71,0.66,0,0
2018/08/14,261935,FALSE,82,71,0.79,0,0
2018/08/15,276668,FALSE,86,70,0,0,0
2018/08/16,277919,FALSE,88,76,0,0,0
2018/08/17,273188,FALSE,87,72,1.04,0,0
2018/08/18,233267,FALSE,85,71,0.07,0,0
2018/08/19,204985,FALSE,72,67,0.02,0,0
2018/08/20,224402,FALSE,74,67,0.001,0,0
2018/08/21,240044,FALSE,79,66,0.11,0,0
2018/08/22,260065,FALSE,82,71,0.72,0,0
2018/08/23,263016,FALSE,77,65,0.001,0,0
2018/08/24,251641,FALSE,82,65,0,0,0
2018/08/25,230205,FALSE,80,68,0,0,0
2018/08/26,211968,FALSE,83,69,0,0,0
2018/08/27,227141,FALSE,88,74,0,0,0
2018/08/28,260565,FALSE,94,79,0,0,0
2018/08/29,269461,FALSE,92,81,0,0,0
2018/08/30,261562,FALSE,90,78,0,0,0
2018/08/31,242126,FALSE,78,69,0.03,0,0
2019/05/01,270871,FALSE,56,50,0,0,0
2019/05/02,279100,FALSE,78,50,0.01,0,0
2019/05/03,277103,FALSE,56,50,0.06,0,0
2019/05/04,266758,FALSE,71,53,0.11,0,0
2019/05/05,237876,FALSE,58,51,1.31,0,0
2019/05/06,228953,FALSE,74,51,0,0,0
2019/05/07,252003,FALSE,70,52,0.11,0,0
2019/05/08,258313,FALSE,71,55,0,0,0
2019/05/09,272005,FALSE,61,53,0,0,0
2019/05/10,266695,FALSE,73,56,0.04,0,0
2019/05/11,253326,FALSE,69,56,0.04,0,0
2019/05/12,226194,FALSE,59,43,1.32,0,0
2019/05/13,243099,FALSE,48,42,0.7,0,0
2019/05/14,261385,FALSE,52,44,0.3,0,0
2019/05/15,258298,FALSE,69,44,0.01,0,0
2019/05/16,263598,FALSE,73,52,0.12,0,0
2019/05/17,272190,FALSE,76,60,0.03,0,0
2019/05/18,256873,FALSE,75,56,0,0,0
2019/05/19,222900,FALSE,76,60,0.06,0,0
2019/05/20,239062,FALSE,85,66,0.001,0,0
2019/05/21,255250,FALSE,71,56,0,0,0
2019/05/22,262087,FALSE,74,54,0,0,0
2019/05/23,258871,FALSE,72,55,0.48,0,0
2019/05/24,228356,FALSE,73,61,0,0,0
2019/05/25,185731,FALSE,71,55,0,0,0
2019/05/26,165205,FALSE,86,59,0.2,0,0
2019/05/27,146698,TRUE,80,64,0,0,0
2019/05/28,225473,FALSE,71,62,0.17,0,0
2019/05/29,246101,FALSE,70,56,0.8,0,0
2019/05/30,258303,FALSE,70,57,0.95,0,0
2019/05/31,259391,FALSE,80,63,0.001,0,0
2017/10/01,,FALSE,68,50,0,0,0
2017/10/02,274707,FALSE,73,52,0,0,0
2017/10/03,302366,FALSE,71,57,0,0,0
2017/10/04,314734,FALSE,75,56,0,0,0
2017/10/05,335387,FALSE,83,65,0.001,0,0
2017/10/06,331472,FALSE,82,68,0,0,0
2017/10/07,324101,FALSE,81,66,0,0,0
2017/10/08,281170,FALSE,77,72,0.22,0,0
2017/10/09,258583,TRUE,77,71,0.26,0,0
2017/10/10,312575,FALSE,81,66,0,0,0
2017/10/11,322308,FALSE,77,60,0.06,0,0
2017/10/12,344446,FALSE,64,55,0.07,0,0
2017/10/13,336925,FALSE,67,52,0,0,0
2017/10/14,336656,FALSE,72,61,0.08,0,0
2017/10/15,293954,FALSE,74,65,0,0,0
2017/10/16,307797,FALSE,69,46,0.01,0,0
2017/10/17,319689,FALSE,58,42,0,0,0
2017/10/18,327167,FALSE,72,50,0,0,0
2017/10/19,330802,FALSE,71,56,0,0,0
2017/10/20,338354,FALSE,73,57,0,0,0
2017/10/21,334884,FALSE,78,56,0,0,0
2017/10/22,287876,FALSE,76,57,0,0,0
2017/10/23,290759,FALSE,74,61,0,0,0
2017/10/24,312489,FALSE,74,67,0.2,0,0
2017/10/25,330118,FALSE,67,57,0,0,0
2017/10/26,345959,FALSE,58,50,0,0,0
2017/10/27,349815,FALSE,62,47,0,0,0
2017/10/28,350625,FALSE,69,55,0,0,0
2017/10/29,307496,FALSE,67,60,3.03,0,0
2017/10/30,297796,FALSE,61,46,0.25,0,0
2017/10/31,294143,FALSE,57,45,0,0,0
2018/03/01,332819,FALSE,60,44,0.38,0,0
2018/03/02,326980,FALSE,44,34,1.86,0.001,0
2018/03/03,316861,FALSE,49,36,0,0,0
2018/03/04,286355,FALSE,44,34,0,0,0
